"""P_Name""", """hex1""", """hex2""", """hex3""", """hex4""", """hex5"""
"""POWER""","""#ff8691""","""#e5eaf4""","""#92a5fe""","""#587ffc""","""#1e1e5d"""
"""SPOOKY""","""#a0d2ec""","""#e5eaf4""","""#d0bdf3""","""#8458b4""","""#494d5f"""
"""COLORFULNESS""","""#ff1d55""","""#f75999""","""#fff686""","""#00ddf2""","""#0049b6"""
"""APPLE""","""#c71818""","""#e03a3a""","""#ffffff""","""#2c9e26""","""#8a611e"""
"""BEACH""","""#f77763""","""#018790""","""#0a516c""","""#423e3d""","""#2b2726"""
"""CRAZY""","""#3a0089""","""#930078""","""#e61c5e""","""#ffe98e""","""#ffffff"""
"""CREAM""","""#283149""","""#913536""","""#bbbbbb""","""#e9eec8""","""#ffffff"""
"""BRUH""","""#1a3264""","""#f16820""","""#fab96c""","""#e8e2da""","""#ffffff"""
"""BAH""","""#480031""","""#df0062""","""#ff8b6b""","""#ffd2bc""","""#ffffff"""
"""FUCHSIA""","""#c404c7""","""#ff00ff""","""#ffffff""","""#00ff00""","""#8000ff"""
"""CORAL""","""#f5642f""","""#ff7f50""","""#ffffff""","""#50d0ff""","""#ff5079"""
"""GREY/YELLOW""","""#455a64""","""#607d8b""","""#ffffff""","""#ffc107""","""#212121"""
"""TEAL/PINK""","""#00796b""","""#009688""","""#ffffff""","""#ff4081""","""#212121"""
"""PURPLE/YELLOW""","""#512da8""","""#673ab7""","""#d1c4e9""","""#ffeb3b""","""#212121"""
"""INDIGO/ORANGE""","""#303f9f""","""#3f51b5""","""#c5cae9""","""#ff5722""","""#212121"""
"""PURPLE/LIME""","""#7b1fa2""","""#9c27b0""","""#ffffff""","""#cddc39""","""#212121"""
"""ORANGE/BLUE""","""#f57c00""","""#ff9800""","""#ffffff""","""#03a9f4""","""#212121"""
"""YELLOW/PURPLE""","""#fbc02d""","""#ffeb3b""","""#ffffff""","""#7c4dff""","""#000000"""
"""RED/GREEN""","""#d32f2f""","""#f44336""","""#ffffff""","""#4caf50""","""#212121"""
"""ORANGE/GREEN""","""#f57c00""","""#ff9800""","""#ffffff""","""#009688""","""#212121"""
"""BLUE/YELLOW""","""#303f9f""","""#3f51b5""","""#ffffff""","""#ffc107""","""#212121"""
"""WINE""","""#39162d""","""#c9c0c6""","""#e0313c""","""#7f1c39""","""#947c8c"""
"""SHIP""","""#1b0051""","""#3c0087""","""#4e37fc""","""#0057fc""","""#007dd9"""
"""MATERIAL 5""","""#303f9f""","""#3f51b5""","""#ffffff""","""#ff4081""","""#212121"""
"""FLAT 2""","""#e36b58""","""#7d7d7d""","""#8f9bc4""","""#ced6f2""","""#fffaf2"""
"""FLAT 1""","""#595959""","""#737373""","""#45d9e6""","""#fff4e8""","""#f7ea36"""
"""FULL PURPLE""","""#d9a4f5""","""#ca6ff7""","""#b04be3""","""#8022ab""","""#610f87"""
"""OCTOBER""","""#69471f""","""#8c4521""","""#c45d25""","""#dbb021""","""#e3d729"""
"""MINIMAL BLUE""","""#5367fc""","""#8291ff""","""#a6bbff""","""#fcfcfc""","""#828282"""
"""MINIMAL RED""","""#ff6663""","""#ff8282""","""#ffa9a8""","""#fcfcfc""","""#828282"""
"""COOL""","""#1976d2""","""#2196f3""","""#bbdefb""","""#ffc107""","""#474646"""
"""MATERIAL 4""","""#d32f2f""","""#f44336""","""#ffffff""","""#ffeb3b""","""#212121"""
"""MATERIAL 3""","""#455a64""","""#607d8b""","""#ffffff""","""#ff4081""","""#212121"""
"""MATERIAL 2""","""#303f9f""","""#3f51b5""","""#ffffff""","""#ff5722""","""#212121"""
